instance,solver,metric
le450_5a.col,PYSATSolver,8
le450_5b.col,ASSILPSolverCPSat,5
le450_5b.col,ASS_S_ILPSolverCPSat,5
le450_5b.col,NotEqualSolver,5
le450_5b.col,AllDifferentSolver,5
le450_5b.col,PYSATSolver,5
le450_5c.col,ASSILPSolverCPSat,5
le450_5c.col,ASS_S_ILPSolverCPSat,5
le450_5c.col,ASSILPSolverGurobi,11
le450_5c.col,ASS_S_ILPSolverGurobi,11
le450_5c.col,NotEqualSolver,5
le450_5c.col,AllDifferentSolver,5
le450_5c.col,PYSATSolver,5
le450_5d.col,ASSILPSolverCPSat,5
le450_5d.col,ASS_S_ILPSolverCPSat,5
le450_5d.col,ASSILPSolverGurobi,11
le450_5d.col,ASS_S_ILPSolverGurobi,11
le450_5d.col,NotEqualSolver,5
le450_5d.col,AllDifferentSolver,5
le450_5d.col,PYSATSolver,5
jean.col,NaiveGreedyGraphColoringHeuristic,10
jean.col,MultiStartGreedyGraphColoringHeuristic,10
jean.col,DSATUR,10
huck.col,NaiveGreedyGraphColoringHeuristic,11
huck.col,MultiStartGreedyGraphColoringHeuristic,11
huck.col,DSATUR,11
zeroin.i.1.col,NaiveGreedyGraphColoringHeuristic,49
zeroin.i.1.col,MultiStartGreedyGraphColoringHeuristic,49
zeroin.i.1.col,DSATUR,49
fpsol2.i.1.col,NaiveGreedyGraphColoringHeuristic,65
fpsol2.i.1.col,MultiStartGreedyGraphColoringHeuristic,65
fpsol2.i.1.col,DSATUR,65
fpsol2.i.2.col,NaiveGreedyGraphColoringHeuristic,30
fpsol2.i.2.col,MultiStartGreedyGraphColoringHeuristic,30
fpsol2.i.2.col,DSATUR,30
fpsol2.i.3.col,NaiveGreedyGraphColoringHeuristic,30
fpsol2.i.3.col,MultiStartGreedyGraphColoringHeuristic,30
fpsol2.i.3.col,DSATUR,30
le450_15b.col,NaiveGreedyGraphColoringHeuristic,22
le450_15b.col,MultiStartGreedyGraphColoringHeuristic,21
le450_15b.col,DSATUR,17
le450_15c.col,NaiveGreedyGraphColoringHeuristic,30
le450_15c.col,MultiStartGreedyGraphColoringHeuristic,30
le450_15c.col,DSATUR,24
le450_15d.col,NaiveGreedyGraphColoringHeuristic,31
le450_15d.col,MultiStartGreedyGraphColoringHeuristic,30
le450_15d.col,DSATUR,24
le450_25a.col,NaiveGreedyGraphColoringHeuristic,28
le450_25a.col,MultiStartGreedyGraphColoringHeuristic,26
le450_25a.col,DSATUR,25
le450_25b.col,NaiveGreedyGraphColoringHeuristic,27
le450_25b.col,MultiStartGreedyGraphColoringHeuristic,26
le450_25b.col,DSATUR,25
le450_25c.col,NaiveGreedyGraphColoringHeuristic,37
le450_25c.col,MultiStartGreedyGraphColoringHeuristic,34
le450_25c.col,DSATUR,28
le450_25d.col,NaiveGreedyGraphColoringHeuristic,35
le450_25d.col,MultiStartGreedyGraphColoringHeuristic,35
le450_25d.col,DSATUR,29
le450_5a.col,NaiveGreedyGraphColoringHeuristic,14
le450_5a.col,MultiStartGreedyGraphColoringHeuristic,12
le450_5a.col,DSATUR,10
le450_5b.col,NaiveGreedyGraphColoringHeuristic,13
le450_5b.col,MultiStartGreedyGraphColoringHeuristic,12
le450_5b.col,DSATUR,7
le450_5c.col,NaiveGreedyGraphColoringHeuristic,17
le450_5c.col,MultiStartGreedyGraphColoringHeuristic,15
le450_5c.col,DSATUR,11
le450_5d.col,NaiveGreedyGraphColoringHeuristic,18
le450_5d.col,MultiStartGreedyGraphColoringHeuristic,16
le450_5d.col,DSATUR,11
